G	c	dx1dt	d2x1dt2	dx2dt	d2x2dt2	m1	p	Fc	d2	d1	W	m2	Fg
1.000000000000000000e+00	1.000000000000000000e+00	3.834422548126843466e+00	3.379057645324374359e+00	2.781714954348343483e+00	7.665232046378427810e+00	5.689610408540100472e+00	7.840846067673685305e+00	4.563339094673557028e+00	1.737210317992354147e+00	7.050319623219840182e+00	3.819642787662067107e+00	3.807205308801938637e-01	8.147388971225336007e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.996087123480485559e+00	5.598239071238995557e+00	1.956209375359605485e+00	7.895887836038704144e+00	7.350712843872029723e+00	1.961160924971112252e+01	5.212549268855929618e+00	4.279703506670388791e+00	2.621089732938231887e+00	1.285229300571777458e+02	2.523924790784903394e+00	1.128081261391636900e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.201462977641917007e+00	8.812775324570379709e+00	8.835912409178174443e+00	3.612579844845905885e+00	7.198455952353358001e+00	1.480481813310505679e+01	9.429704419535024584e+00	4.833110690003382892e+00	1.006437710531503171e+01	3.522358930916037423e+01	8.996490022059676406e+00	1.090492051809405041e+02
1.000000000000000000e+00	1.000000000000000000e+00	5.634540886554984418e+00	7.346261252343285086e+00	3.258885308620617760e+00	7.173361585952536146e+00	2.977409228263726337e+00	3.261323292931961770e+00	3.039337599346901175e+00	1.124458236445213366e+00	6.160970365217725231e+00	2.717654104397166925e+00	7.172953868206166206e+00	1.709507522377241173e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.444589427961565864e+00	7.712392312058497623e+00	3.795809612423449941e+00	6.980175192984190424e+00	1.833644291567024132e+00	-7.649399847977056410e-02	9.712368533353295419e+00	-3.449835661710570212e-01	2.333065870976056111e+00	-6.915709886761280956e-01	4.045179132012365564e+00	4.009196130488682286e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.323000452885815470e+00	6.355877670639471511e+00	7.516727365002721761e+00	7.762874721549931856e+00	2.512590546693540539e+00	2.328572600008850468e+00	2.180777856569185769e+00	3.372265999382365376e+00	1.008496316180412933e+01	2.105758005181039394e+00	3.955342341246432358e+00	3.618519078860412463e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.175562718422400454e+00	7.402239456940162832e+00	4.736206572165935214e+00	8.397933934846971482e+00	4.206469178451150981e+00	1.150368794589129440e+00	8.074650735024768267e+00	1.335375154199492931e-01	5.287398645099159467e+00	4.959411293456328362e-01	6.760059483526297264e+00	2.995606898197970835e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.025802491972740427e+00	8.628080274044680920e+00	8.559467277908964888e+00	1.740187981118531013e+00	4.989137595577486373e+00	8.789268487057134038e+00	7.841471059449245828e+00	3.114701130374408322e+00	2.704994632462078386e+00	7.935730447166932322e+01	1.215120872500509153e+00	1.435316383844750554e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.401237957567217585e+00	3.671211929680712416e+00	8.532678427494073681e-01	7.608320142803094654e+00	7.138328103507203259e+00	1.128649020789778490e+01	1.719032316652089998e+00	2.603761990290816009e+00	6.644007180461910522e+00	1.551618347572420120e+01	3.625412226254688175e+00	7.128261804924565581e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.771346644912648038e+00	5.270161006776257651e+00	5.297986960205702367e+00	1.132556193291348379e+00	1.840419746307088600e+00	2.643633606497702626e+00	4.565373308020016729e+00	1.305421605193354484e+00	3.584040010327424586e+00	-3.190023604170793892e+00	3.030371422115492930e+00	1.717546274595072830e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.385187843058794943e+00	2.874248481585815362e+00	1.831085077880877154e+00	4.187421777508051335e+00	1.941184109496682408e+00	1.546402695772950975e-01	2.837926946451515331e+00	2.396115943496938683e-01	8.243584068691312439e+00	2.335858024042709591e+00	3.660813523663572600e+00	2.709830746450538896e-01
1.000000000000000000e+00	1.000000000000000000e+00	1.049915767695214441e+01	1.031501235689700202e+01	1.172717938566450346e+00	3.632481794372484529e+00	4.838367537688808895e+00	1.104912612678525363e+01	7.356144016647771622e+00	1.153170362297987417e+00	8.914515246434252305e+00	3.581913487751767988e+00	8.830359129898361914e+00	1.553025822737515114e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.419610956943881064e+00	9.289524811679489957e+00	8.311172149663237363e+00	2.939510892447154244e+00	7.190561468176143833e+00	1.422087182559083018e+01	6.135362878908332540e+00	8.251240975334239280e+00	9.232362222392808349e+00	3.680275709428435960e+01	3.537523337854631578e+00	6.128181288873594923e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.452879169147202720e+00	5.539747402460877268e-01	3.195671201023772223e+00	3.728561728627052929e+00	2.444431089979910876e+00	2.668669192323132044e+00	5.915086406452267909e+00	7.477497828385433198e-01	6.371876184234305462e+00	-6.483972937356452526e+00	2.439967507150948567e+00	1.216971981953724402e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.460131803675833506e+00	7.821680140164778194e+00	6.233129162408696189e+00	6.689718314449638825e+00	7.193393588282400941e+00	4.723410289909073967e+00	2.792741161648670367e+00	2.493244000963473095e+00	5.220661841744963283e+00	8.883818678859324081e+00	5.038826419590672678e+00	6.402430155216357832e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.675459304006237993e+00	8.950530763675443424e+00	5.158361083063930153e+00	4.177319262668759414e+00	3.488415522885807363e+00	3.072379437618362630e+00	3.506658743402706779e+00	1.171150661149475303e+00	8.139467563525778715e+00	6.837156023734820565e+00	9.730202989922117851e+00	3.628321682751828092e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.650583909460790810e+00	2.662388145077461132e+00	4.076776345996551143e+00	8.450316483021357072e+00	8.505919942518794130e+00	7.912164802273829345e+00	2.170007204614339713e+00	8.361857844900033143e+00	1.790576013566637759e+00	1.311386008939776673e+02	3.610499336625174305e+00	4.251545057952640860e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.846590283685879186e+00	5.762967709807773176e+00	9.452232067302572815e+00	4.438970177198963363e+00	9.770501363909502857e+00	1.322033341779938986e+01	3.210658776410494575e+00	1.000558621772703738e+01	6.105692385073440143e+00	8.535918325607950408e+01	5.193394246111335821e-01	3.018917746199240781e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.929561589288815604e+00	8.698376827711539860e+00	-1.786953965404307620e-01	1.086669553199455684e+00	3.818383742279965354e+00	3.039723135461418480e+00	5.844630987267523281e+00	4.769674565050204817e-01	5.389663199777174007e+00	8.332188927639960774e-02	4.076980860980370380e+00	2.540003892990262813e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.034888382260707118e+00	2.492253417155874118e-01	6.732648673143790674e+00	8.550403166154453061e+00	3.425582359086301487e+00	2.096814506778224008e+00	8.534446817318329437e+00	8.183502735778432902e-01	2.444782763596116126e+00	9.296224289344804603e+00	7.951110635386395842e+00	1.013172266640011259e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.388168657632354197e+00	7.465465546335014579e+00	1.019376491215606251e+01	3.775947372030714178e+00	4.488205296462520089e+00	6.565639447175691146e+00	6.658712025039399407e+00	3.819819280244371118e+00	4.060229423919079927e+00	1.997766316791157593e+01	6.849423026391670000e+00	6.705305065973499268e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.716296792201634780e+00	1.788053567304908054e+00	5.270743781235477599e+00	4.698324971352037416e+00	3.780678902222939897e+00	1.914418212365470495e+00	5.416585907788658893e+00	3.014796764053653266e-01	8.763430130593972578e+00	-4.054111050403482963e+00	7.762164263837037836e+00	5.178467796241778132e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.685166603340756630e+00	1.004185518024064194e+01	9.247280935875361152e+00	7.186188097934086194e+00	6.187918200278109460e+00	5.514320485398028993e+00	1.115342422419070267e+01	2.930930280696054435e+00	8.494087356074883743e+00	9.948009667647385257e+00	9.864057566671116106e+00	1.365911027994350775e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.566093110429126689e+00	1.031365083612314493e+01	1.646827089069799133e+00	3.787461591392713878e+00	9.347216917256204738e+00	8.673326087409259699e+00	6.862202894589042756e+00	4.525342693529988969e-01	1.043103856777586547e+00	1.616167433576875467e+01	7.920453037859624068e+00	8.035800102382863486e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.356719007977183367e+00	8.992428159840255120e+00	4.336089560508437302e+00	1.883896083289616330e+00	6.001753426785955803e+00	8.940814998781506873e+00	9.604522258248307409e+00	1.631817791295373077e+00	1.307673410459019081e+00	2.771030017972488579e+01	5.794906536908551509e+00	3.012530849997247984e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.302867924067312444e+00	6.151497780349131084e+00	3.345492443851401543e+00	5.279034435961825977e+00	7.669315271599867145e+00	1.661260750925059781e+01	5.910426207359853912e+00	3.215033911794006549e+00	3.608828366233055807e+00	6.850082266369192041e+01	6.158713522722047529e+00	9.646432116851067917e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.618675592787037321e+00	9.904838547249271485e+00	7.790350453858714275e+00	9.107302203433235377e+00	4.710100078597689865e+00	2.156761820479912828e+00	3.504041380656905513e+00	2.454728684936042793e+00	8.385187317515038430e+00	3.322233794900522508e+00	8.456260742374805961e-01	1.670988667758440371e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.473992622828981247e+00	8.448894380260444592e+00	9.998412498287308381e+00	7.003453859253698788e+00	2.117752639535297909e+00	4.546270392171489760e+00	2.206746511379532372e+00	7.328151413781900381e+00	1.796109234194467996e+00	4.463856354356386902e+01	1.037742605818571029e+01	1.917764316396063862e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.777229110798207223e+00	4.100533516780296317e+00	3.087494191404592581e+00	6.215197699778112650e+00	7.462717856064816857e+00	1.211865405727519018e+01	7.739558919956551541e+00	1.845203198694510549e+00	7.683062437373531672e+00	1.646294897793028511e+01	3.599608978521558367e+00	1.101888740506946363e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.194143437192823010e+00	8.536048190040430583e+00	6.429797321685168932e+00	6.109922476122352286e+00	3.954988386374362008e+00	2.671094580939436192e+00	9.197153435387424025e-01	1.861775890654167931e+00	2.408144197467749770e+00	2.356542992928920555e+00	2.108321338444858917e+00	9.611396511917442709e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.232191714574908836e+00	2.175116854457721960e+00	3.001619393718574891e+00	3.095462773243795152e+00	6.614900345197246345e+00	1.055614959558861621e+01	2.936708259999593729e+00	1.964763157895823120e+00	6.967688540833448130e+00	2.278192911723041547e+01	7.305922197918828687e+00	6.110101281225486503e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.596756468984631638e+00	5.591685846968204920e+00	6.275240371043508070e+00	4.726894155720706259e+00	3.608451448048395793e+00	1.834936388422693465e+00	5.206895171386508814e+00	6.436846480149995831e-01	4.179268815678597981e+00	1.871724681355015685e+00	3.941449404795545064e+00	3.022113847816403975e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.395879466367462962e-01	2.943590305505957794e+00	5.335535190300481290e+00	7.158024745447904458e+00	1.704615372992150490e+00	6.876823352218990326e-01	5.669072439811703390e+00	6.180494314329018635e-02	8.218616523103094096e+00	-6.734460764180805192e-01	6.505357751697557589e+00	4.666843479826526675e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.056873175633303497e+01	2.596577317736250556e+00	9.811268417048381707e+00	1.917099028248854031e+00	1.041520063328118617e+01	2.476604897184797949e+01	6.328671663463632413e+00	1.285956105081635670e+01	3.167809110524604677e+00	3.646184341853611386e+02	6.807256406866218690e+00	5.348292724913910234e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.019623487062637324e+01	2.145160375274130171e+00	6.664561895318695584e+00	3.976463591737623204e+00	2.449482749378075752e+00	6.989690389423129702e+00	2.378505296973924654e+00	5.352535831218396822e+00	6.189061654866267581e+00	1.317397502055505676e+01	4.857416726543621444e+00	7.495248687704230406e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.895741359538678950e+00	7.242784123733120083e+00	4.629787472560955131e+00	2.703596171692929317e+00	9.668751642202199292e+00	2.008771815128143245e+01	3.417287752653399568e+00	6.947910190797736973e+00	3.273151515210447116e+00	1.669620934045721867e+02	9.268788414620075855e+00	1.099366210387505305e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.136623378831783882e+00	4.833439004646357340e+00	2.198007013527741638e+00	5.833636125870375722e+00	1.021736817769906835e+01	8.557398888482097732e+00	5.672184957107297087e+00	1.146734165518479065e+00	6.854344398277911310e+00	2.466476587323255920e+00	3.575184721883839067e+00	3.194409665782466590e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.316082627050231491e+00	7.652788570381845012e+00	2.415183550887917363e+00	1.013352026725579691e+01	7.146352680678980995e+00	3.758781385802121733e+00	8.565858146830841235e+00	3.393905876453069959e-01	9.197254989385296398e+00	9.310406185804938062e-01	5.430178228575724297e+00	3.807317361941395006e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.475659857582826362e+00	1.651460252855919908e+00	2.736938244830937617e+00	1.928516279736531391e+00	5.528546780000759497e+00	1.323864854223131715e+01	6.696120389868049472e+00	1.791268087401770126e+00	2.214726999384721395e+00	3.333387050283201347e+01	6.033435945592418470e+00	4.042812278519203062e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.414523291849919318e+00	4.225388930369954110e+00	4.023933544018582609e+00	5.667580713032165818e+00	5.335385001501130375e+00	7.728248870810396021e+00	9.847204400530888080e+00	1.304990265255508319e+00	7.622084071934935423e+00	2.488850394964018165e+00	7.235114971398791894e+00	8.495649423511343912e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.963400494968074561e+00	5.821544613989500405e+00	8.035443879542365053e+00	3.560068244493891143e+00	8.607799391465359662e+00	4.787006828286544113e+00	7.711533013745606624e+00	2.327997376198865709e+00	6.874795450232326743e+00	6.668208697198199530e+00	7.521001121352857588e+00	3.439714340006332804e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.541466813852282236e+00	8.144469772258945639e+00	5.939031607881929631e+00	1.025703042901438877e+01	3.818186334545794036e+00	5.739446876159910005e+00	5.802782151289799906e+00	1.677603066135769705e+00	1.860020659355470007e+00	1.150111044157839402e+01	4.050296942390801291e+00	1.183805075055228286e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.602446718666373116e+00	3.430789730942138238e+00	5.429425505564361210e+00	1.820748850251191042e+00	3.754153797412209670e+00	2.407250678701684521e+00	1.676193665441675806e+00	9.640183687667613910e-01	4.518876656513308276e+00	4.850431795632189846e+00	6.525358661431205576e+00	2.922334186482606455e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.497120720631725632e+00	8.264920161839434343e+00	1.024057225475379251e+00	5.042412486978177455e+00	6.568185698095684089e+00	1.582551710446881543e+01	6.444517331842803287e+00	1.796396706919742181e+00	2.967733094433373964e+00	3.968660989772733672e+01	2.630212377493179599e+00	4.598004610706544781e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.229125452243780892e+00	8.710432773751207947e+00	8.936620378496153094e+00	7.244088367401922746e+00	4.507577598449624467e+00	4.374314276037316596e+00	6.943527451509642567e+00	1.415145519798334250e+00	7.214320081063353207e+00	-1.479476193563994180e+00	9.079434745647764871e+00	1.128825083067207373e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.067460078189609085e+00	6.948458735520428142e+00	7.393094663589191207e+00	7.189280911981436262e+00	4.921980638080779791e+00	9.442196842719738470e+00	6.683180391867072245e+00	3.428430112073542535e+00	8.154792262248029999e+00	1.091747529261704841e+01	4.289385203879206188e+00	1.252109549381461449e+02
1.000000000000000000e+00	1.000000000000000000e+00	4.236079300761663724e+00	4.158488075135749362e+00	1.626616132317299845e+00	5.598501633167076719e+00	2.933512033732361246e+00	2.876624317372651340e+00	5.269567105845602839e+00	6.217853960469208463e-01	1.596757611538071941e+00	-2.843362251395638030e+00	7.526892721057022229e+00	7.428297555082335180e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.770822767339510051e+00	4.725754257973577843e-01	7.271774297962039668e+00	4.328530957355217090e+00	7.502608473501077846e+00	1.030281288176200150e+01	5.611407188602168361e+00	3.643924656614502489e+00	5.992437025192595357e+00	2.470489995834666530e+01	1.940402373330166519e+00	1.457839490843105068e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.343014284604123532e+00	9.170895797803698457e+00	6.307777081468834979e+00	4.936618984948160538e+00	8.672877158133559305e+00	1.359825357127977163e+01	3.038241914899655782e+00	5.946130979781387715e+00	8.438898148467169236e+00	3.913595385643795765e+01	3.168652226212782530e+00	2.941173542099800997e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.031545059335963188e+00	1.204310471578441621e+00	2.222242621894236603e+00	4.011648341304640653e+00	2.150764473003247357e+00	1.754648402598556922e+00	5.248055741241028471e+00	2.627279853460393055e-02	9.645733107418907437e+00	-6.711360752540934449e+00	4.603210503416962140e+00	2.380517643948014594e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.931222672138256158e+00	9.870752196332086115e+00	4.516625226054690856e+00	3.144770270389780187e+00	9.480403346729916692e+00	2.370519922708801275e+01	3.082804269904023009e+00	1.395502724124384031e+01	5.524547887310624183e+00	2.262664281343309653e+02	8.989567742328002709e+00	1.174508886312839735e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.080897275594178808e+00	5.254625906680557179e+00	6.337024825502481917e+00	4.908235985300287929e+00	8.016020509194706989e+00	1.410259744480740984e+01	7.876354073001858858e+00	2.730716813315515967e+00	1.043907192629787239e+01	2.003916077792931105e+01	5.583228349571989213e+00	1.024657713950651612e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.010604185989685178e+01	9.033118261445773456e+00	2.359354563942388516e+00	4.316117731434448324e+00	7.708627688228384400e+00	2.023164239696897226e+01	3.562661033645561304e+00	6.039897913656037787e+00	6.838680601514630197e+00	8.489887906239781046e+01	9.246877394046844501e+00	1.460543318968494475e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.069884878058898536e+00	8.161284429095340798e+00	9.835724784318019331e+00	3.866564896406420537e+00	5.191505026769523745e+00	1.403289123215021839e+01	2.426091605385447103e+00	2.389483255406369722e+01	3.348940865989335158e+00	2.971666828550445416e+02	5.354516311888418478e+00	9.155542649051820092e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.328405121731828231e+00	9.706857248580885056e+00	8.749341691763151019e+00	7.228459857912251429e+00	7.951354606112895240e+00	1.342766739017423205e+01	4.677265406722351138e+00	7.698474872260717916e+00	9.137745262298469839e+00	3.940021449952638477e+01	6.015391603218220418e+00	1.161269601547829922e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.995330693132977729e+00	3.900903046958458908e+00	7.079572387188544091e+00	9.747083682582820430e+00	1.127990530022212168e+00	2.321599228395022418e+00	6.779182373451426713e+00	1.020898010630960195e+00	4.849489284175082737e+00	1.725348780670366899e+00	1.643200593269835919e+00	9.274132005835375026e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.603531538906362464e+00	9.033141424358671401e+00	5.468125229014093591e+00	7.034031158670691397e+00	8.751832928118561838e+00	4.413254356406043577e+00	6.159070603229627849e+00	1.404727480562381503e+00	5.524375567215437322e+00	-5.467460789196514348e-01	8.332807147484258437e+00	5.545369064285764438e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.488606548984201083e+00	4.688054053669284293e+00	5.433818794666428253e+00	2.729452942463875154e+00	2.164834059206774963e+00	6.122777162869651457e-01	3.955573604608132676e+00	2.827683799790000063e-01	4.445795800380166973e+00	7.659531422366332443e-01	3.377926946615571246e+00	1.411009228081777955e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.683706881923288323e+00	4.882347852146543765e+00	7.287824941562970338e+00	1.477065212673780437e+00	9.434082779663517826e+00	3.712143830789439214e+00	6.062094905998923089e+00	1.111471626199286078e+00	8.840417723248936710e+00	9.925592147605866167e-01	8.978268459638723442e+00	2.570209604176977081e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.916941371757801882e+00	6.430576777213880213e+00	5.774519590778963263e+00	1.013955814215399087e+01	9.171798932451649122e+00	9.735617279694411152e+00	4.224900802734837590e+00	4.356699795399645581e+00	8.032579092480650829e+00	2.256232846826406657e+01	8.856468463086635268e+00	1.560161753249268202e+02
