G	c	dx1dt	d2x1dt2	Fc	m2	Fg	m1	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.324050220040057901e+00	2.501870559031354357e+00	3.314028038615841609e+00	7.034171959726844392e+00	6.105396305820531389e+00	-5.882123580536399388e+00	3.316117900417614450e-01	-6.258240641334551768e-02	1.847374494885556606e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.625449068596536151e+00	5.848007422691523516e+00	3.152318781550356608e+00	8.254876507928294416e+00	8.256691702032675551e+00	-1.271171962824020518e+01	5.470065596102358096e-02	-9.429909777887329411e-03	4.677985915035159925e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.523763487896014013e+00	8.808303850404261226e+00	9.154011839542327778e+00	3.283923944699122632e+00	7.900035464298067467e+00	5.019205923885934340e-01	5.144278825873280225e-02	2.748351360637564522e-03	2.287998543014254926e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.432961751031650799e+00	7.609440076078068493e+00	3.340618651420790286e+00	6.602533302839329821e+00	2.402218315279166294e+00	1.731191708235761517e+00	7.729768622149914281e-02	2.712371817127868720e-03	-1.350115798232152109e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.448581572108500026e+00	8.441840257590818908e+00	3.452086499139788156e+00	6.208511626625244695e+00	2.282720635051481040e+00	1.974108839013211325e+00	2.545876646672164956e-01	3.419745769044330030e-02	-2.319290673369914568e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.351225728805578896e+00	6.967723468256636465e+00	7.816274907015728246e+00	8.519584389427159010e+00	3.394812967951768456e+00	4.784387143274345000e+00	3.081765635017660321e-01	7.262558206362451640e-02	-2.681845629122617591e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.630098817426910429e+00	7.382694804827872659e+00	5.089296570428975208e+00	9.104300599196694321e+00	4.219631129845087258e+00	1.431813265554568337e+00	7.898768747379574240e-01	8.287534347810013302e-02	-3.460678979347457496e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.808116346725885393e+00	8.674402403990455923e+00	7.981653152680952878e+00	1.210034905164663499e+00	4.678983815254933454e+00	4.664884291879640155e-01	4.570888173597242865e-02	2.332257390714363547e-03	1.565148693008238667e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.445425798464731848e+00	3.211970527578249968e+00	1.691441688674936383e+00	7.080225832854731394e+00	7.189743959426055042e+00	-2.457259617757819115e+01	1.676777145739213049e-01	-9.405483313697017567e-02	2.476039428438114864e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.290000704059817593e+00	5.424179783292874646e+00	5.387924704870451720e+00	1.467539698438697693e+00	1.502014321664048913e+00	1.065526785892795036e+00	8.292420055953532432e-02	8.821582159151443447e-03	1.507336198779034298e-02
1.000000000000000000e+00	1.000000000000000000e+00	1.299878541123292486e+00	3.089944678570707204e+00	1.341201406840362598e+00	5.893414794652647615e+00	1.307252590218574761e+00	-5.055837139889612225e-02	5.410416775229768938e+00	-3.381038945316238581e-02	5.561766507648169267e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.662911864759962555e+00	9.990793486712510330e+00	1.522212205536555452e+00	3.652547394764827260e+00	4.624022457183428969e+00	-6.788612325739125986e+00	3.759548789558286169e-02	-7.360974028281074694e-03	4.183659068004744186e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.547453790434571985e+00	9.464527146148121517e+00	9.185715915479182314e+00	3.788991460889635565e+00	7.322199713890283235e+00	7.655134189124782607e-01	4.161935115773655186e-02	1.054322157128563097e-03	1.437449528301049106e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.857211880980678576e+00	1.368926303316420512e+00	2.268398043192294544e+00	4.210689555047589572e+00	2.772187998357849015e+00	-8.948897601431370363e-01	1.156252188097566691e+00	-8.713355041516600286e-02	2.328435746918946947e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.602923113438775804e+00	7.270664207451181582e+00	5.788666068700397460e+00	6.564157462950586108e+00	6.880198738959814264e+00	-1.086342065497674536e+00	2.508939670079484707e-01	-1.719408231964409881e-02	1.327843348683775071e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.693330395946694100e+00	9.373112459983858002e+00	4.672155104878490839e+00	4.051602685420351513e+00	3.365133003872199602e+00	1.114447727041858904e+00	1.925161279940022507e-01	1.862732466315874733e-02	-4.661340554704556105e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.793794517795652244e+00	2.711593651203589417e+00	4.090860137564620302e+00	7.643651353040758600e+00	8.866569881495344418e+00	-8.906572997956830662e+00	4.237115223917879425e-01	-1.294156858469045213e-01	2.956643041527243110e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.654002048424889182e+00	6.113721175618718640e+00	9.114090640204688398e+00	4.604542993141371277e+00	9.106564370038778833e+00	-1.513665497997886827e-02	9.843813811238974476e-02	6.411618966196885525e-04	4.844862934885207917e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.946524893129399914e+00	9.202267065628840115e+00	1.231138396004644919e+00	1.538471803934545301e+00	3.588868968727641828e+00	-3.319675250315354820e+00	8.246729468568400612e-02	-3.553073831387790898e-02	1.037707291551578814e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.677619833176506425e+00	1.325548455710814810e+00	6.967085693506501087e+00	8.085310486350254067e+00	3.094564286945946208e+00	4.494468233576732530e+00	8.687903405991909134e-01	1.348590605260470698e-01	5.838572184335933946e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.455911113425622183e+00	7.300006306092438280e+00	9.686411844017802864e+00	3.486653742803119016e+00	4.608389030324285152e+00	1.808210921281601768e+00	7.290851735551244495e-02	2.979081609352964097e-03	1.289097204184462275e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.341968497265206839e+00	3.680655227744447977e+00	6.039420133592899198e+00	4.903131104767026294e+00	3.139354899012666067e+00	2.346188744180814023e+00	6.405421719159388738e-01	1.364881582095800461e-01	-1.043036824134917051e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.550452203761682135e+00	9.329507960709305436e+00	9.436842423766542254e+00	7.144783893386057905e+00	7.031639436192576476e+00	1.817127326034291501e+00	1.266437084759091669e-01	9.242449255684979936e-03	2.095550411427003767e-01
