G	c	dx1dt	d2x1dt2	Fc	m2	Fg	m1	d2	d1	W
1.000000000000000000e+00	1.000000000000000000e+00	4.367630060707198503e+00	2.666657170490672524e+00	3.355357278727786330e+00	7.061364269700170837e+00	6.140097912769118871e+00	-5.871540060751002876e+00	3.349434175079525899e-01	-6.349130716350669112e-02	1.858975414001623472e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.543491694207203224e+00	5.873057596304701811e+00	3.214281364471144986e+00	8.175331062402117155e+00	8.251314054043589863e+00	-1.274083170455821090e+01	6.069156578041980804e-02	-9.771039032866267460e-03	5.063091459315195442e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.585714413959994573e+00	8.866237678781697440e+00	9.159012753539743201e+00	3.244498455833112693e+00	7.843690147030994098e+00	4.651117912725936665e-01	5.130823397329133811e-02	1.066650291595656408e-03	2.080758837989322430e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.392870362082718749e+00	7.595810005890075267e+00	3.250518666415554314e+00	6.629730371681221257e+00	2.379971365982623155e+00	1.756322398264199336e+00	7.235314932606476401e-02	3.168990109903616157e-03	-1.437426520273835939e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.407077579151609026e+00	8.254934867798072062e+00	3.444228328647738646e+00	6.135761258457383960e+00	2.349351078978731966e+00	1.968124541191581534e+00	2.573624119476958794e-01	3.439977163120520182e-02	-2.356371360984631291e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.406268156274103287e+00	6.921625653332867500e+00	7.841022144743726052e+00	8.500335236255562421e+00	3.417957233438248643e+00	4.794361475254732774e+00	3.080399845872695552e-01	7.247049368956223758e-02	-2.680461107197865456e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.521237099737947185e+00	7.228343523086719458e+00	5.038455293276454583e+00	9.152792584280366128e+00	4.254987798880849326e+00	1.448021320847816984e+00	7.935901091556126774e-01	8.232414405482667286e-02	-3.451102782204685138e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.788662800460762980e+00	8.645178065892459074e+00	7.982141487429536220e+00	1.113214016580328813e+00	4.676148477450426277e+00	4.614093023828944595e-01	4.526111833351694619e-02	2.327530022904736665e-03	1.136249967095992047e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.412824042084229959e+00	3.248348382521085487e+00	1.589049663219026742e+00	7.058966226851910442e+00	7.109564664151922564e+00	-2.459739068857091482e+01	1.712701536584558537e-01	-9.281567772771753821e-02	2.425291536812622883e+00
1.000000000000000000e+00	1.000000000000000000e+00	7.368137809067765609e+00	5.411796043075199236e+00	5.388280908659081270e+00	1.472862160087173855e+00	1.515450309322629918e+00	1.052815772428311814e+00	8.722865801208960768e-02	8.607523611395216309e-03	7.548540272891091953e-03
1.000000000000000000e+00	1.000000000000000000e+00	1.197081456363088936e+00	2.995279426441700643e+00	1.298565730897716985e+00	5.931797531704026127e+00	1.310581641074416437e+00	-4.555006641119088706e-02	5.413754071668354761e+00	-3.334276630973922323e-02	5.582029586612787142e+00
1.000000000000000000e+00	1.000000000000000000e+00	9.732276431286885909e+00	9.894405933497216310e+00	1.568349128360095435e+00	3.585075962609598044e+00	4.519625009963252893e+00	-6.801251547910434070e+00	3.421061795565398522e-02	-6.736270769479497413e-03	3.868021399099301760e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.488841121977911186e+00	9.498352407500171068e+00	9.160868493405002866e+00	3.755586339065330126e+00	7.281837717989415815e+00	7.728761482926543858e-01	4.230920505864871339e-02	9.528168730616267844e-04	1.486048332562180385e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.907742994135368075e+00	1.347112414785463175e+00	2.257946684918249236e+00	4.167129927480702989e+00	2.752353453391574778e+00	-9.017039726165285707e-01	1.159065127029541564e+00	-8.616844722617267305e-02	2.309997522115856849e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.635921657235913873e+00	7.349087848591874028e+00	5.791106223512725748e+00	6.592143753211830770e+00	6.773315653590350038e+00	-1.119915444724711717e+00	2.496391036653421713e-01	-1.625585078979735823e-02	1.339155075106147175e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.649344331596733770e+00	9.333132304328348283e+00	4.703187658261631654e+00	4.016226728454690864e+00	3.350213860445626857e+00	1.159753872116303430e+00	1.942726740564069965e-01	2.131741572555815797e-02	-5.094840915217059285e-01
1.000000000000000000e+00	1.000000000000000000e+00	3.744224839472378719e+00	2.624891479924102988e+00	4.123629214320209790e+00	7.608728419204352278e+00	8.975272366569532423e+00	-8.922151731579040401e+00	4.177174721959415749e-01	-1.311618318983537035e-01	2.974166052844176455e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.723816821909508690e+00	6.114305840075203058e+00	9.109840581122687908e+00	4.641272410750683974e+00	9.059137176510574818e+00	1.835477653670073567e-02	1.041781063539994057e-01	8.805175939046231120e-05	4.738522471035704342e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.883545352969510311e+00	9.237621433478361510e+00	1.191923975401164570e+00	1.621223814977468702e+00	3.672150765644976556e+00	-3.345914278077798176e+00	8.291852018344683661e-02	-3.571487656692744206e-02	1.051655881992382247e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.631293909096274586e+00	1.299784806297001660e+00	6.985731898782957749e+00	8.055094995410371439e+00	3.078860892589434073e+00	4.508296347836883378e+00	8.762801883130910685e-01	1.354104148201045743e-01	5.919696349535759072e-01
1.000000000000000000e+00	1.000000000000000000e+00	6.506942921925472412e+00	7.276096227761309265e+00	9.670742549086599027e+00	3.574525562028943337e+00	4.697486346921150968e+00	1.835805161057522561e+00	7.525612468988457371e-02	5.835715344802309100e-03	1.372077044823972192e-01
1.000000000000000000e+00	1.000000000000000000e+00	2.259605947882365573e+00	3.677860349058638789e+00	6.033918558185230374e+00	4.893049740898617550e+00	3.168789243626189744e+00	2.330251250229192106e+00	6.498947028070588550e-01	1.372608408192306229e-01	-1.066857055806726962e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.626009930211931298e+00	9.315918067095587674e+00	9.438956217445598540e+00	7.170050974635021390e+00	7.048408853721128686e+00	1.810525579510807059e+00	1.233266308200839517e-01	8.541928707266327817e-03	1.810918672894547277e-01
1.000000000000000000e+00	1.000000000000000000e+00	4.299221883972791147e+00	9.738212911633668867e+00	1.471016093594487151e+00	3.995014984013605552e+00	8.432074893044807951e+00	-1.891227041573538159e+01	9.370103308577198975e-02	-1.029853890961812679e-01	3.754860398202092053e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.106313683398806980e+00	9.493172019666747730e+00	4.773839480684279657e+00	1.506139490316519947e+00	7.063440896410247305e+00	-7.250988032825003149e-01	7.667311563315851175e-02	-7.169233747214927635e-03	2.981328791687118951e-01
1.000000000000000000e+00	1.000000000000000000e+00	8.056356284167488724e+00	5.274154483794854187e+00	3.348177825911215155e+00	4.364869914261002570e+00	8.417083989096999730e+00	-6.632981792428575218e+00	8.058252376317281973e-02	-1.528637983130267351e-02	4.643328800040938398e-01
