G	c	dx1dt	d2x1dt2	d2	d1	Fc	W	Fg	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.315679019667716609e+00	2.682100951008074219e+00	3.263702966647461068e+00	2.476881500183380158e+00	7.152696184180993733e+00	9.569674375846151548e+00	-3.181797817600114264e+00	-4.275762654179859368e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.497577353427002933e+00	5.860012038819087721e+00	3.249555598192980899e+00	2.901933582001240630e+00	8.180530208357561506e+00	1.104660343069138584e+01	-2.688902762992749107e+00	-5.262997400727468289e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.549942789707412949e+00	8.906660377988870891e+00	9.173726841458442749e+00	8.957829647496525993e+00	3.236889856865086124e+00	3.318378721583571433e+01	-7.664868464853650032e+00	-2.197912620324101596e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.440826068266832571e+00	7.556108924341178756e+00	3.187680001246373962e+00	3.063032154110007177e+00	6.594637347066903743e+00	1.018399261403230938e+01	-3.401551292151701045e+00	-3.348298513883744221e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.318743130368870364e+00	8.251483946179815732e+00	3.396463109426479221e+00	3.165715023657733607e+00	6.095241154943769502e+00	1.063349039825554421e+01	-3.592166410863786741e+00	-2.897473172765623062e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.425343696107739699e+00	6.972907740427285006e+00	7.833216285112837518e+00	7.502151072594891446e+00	8.461511722202033070e+00	2.878188932490304097e+01	-2.789782415352465961e+00	-1.367212833069219471e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.542399742455931699e+00	7.295939247174310971e+00	5.067032137275647941e+00	4.636174242692445269e+00	9.135812040685379998e+00	1.927546158515908559e+01	-2.588106402766511938e+00	-1.036697460951233865e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.858592486897457263e+00	8.613535730287374292e+00	7.853537724456225000e+00	7.744212890081796807e+00	1.083029570566346189e+00	6.848116106854729424e+01	-2.477523534534646643e+01	-4.155824321043799507e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.419808172191284079e+00	3.356360056350258692e+00	1.646630905996438132e+00	1.017695547307430504e+00	7.030571858693658527e+00	4.169300569480108187e+00	-2.978717975387339845e+00	-2.297211771544056091e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.299860895354963297e+00	5.422303174508537715e+00	5.360749046897917758e+00	4.987312024209461292e+00	1.580069911849393050e+00	3.497910846604558799e+01	-1.804119699975658975e+01	-4.996557740308661621e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.133270299359474320e+00	2.932690854846485617e+00	1.228753000904841297e+00	7.416989863833585162e-01	5.883999644505273352e+00	2.800156828804214459e+00	-3.171797402773391727e+00	-1.536756536461047773e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.665132999512426437e+00	9.909604724250790753e+00	1.616007266375860230e+00	1.348720291669558202e+00	3.596627411725668022e+00	4.859148668086878509e+00	-6.431194734903019850e+00	-5.323365635150869579e+00
1.000000000000000000e+00	1.000000000000000000e+00	8.462831069494935576e+00	9.475163170900980703e+00	9.156628810849914757e+00	8.954731736737038261e+00	3.793044902738028412e+00	3.085417235479309284e+01	-6.469550873489497533e+00	-2.757206525181825185e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.901140048289932327e+00	1.379061792236470740e+00	2.320575329316196811e+00	7.084186314048531719e-01	4.210715496036561589e+00	3.610388122040022463e+00	-3.628303830819816778e+00	-1.921695557730979331e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.573266137219418326e+00	7.347785223643927388e+00	5.816045600333789700e+00	5.534139014602623696e+00	6.588461385715571161e+00	1.881256180973164760e+01	-3.406602852158921113e+00	-5.729789412462231724e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.730339910451371921e+00	9.331379241335532981e+00	4.699776527239762913e+00	4.385819675420881580e+00	3.993427633695168399e+00	1.498716965525281886e+01	-5.865341984151287491e+00	-1.557767256480414275e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.666359455240530529e+00	2.574312311278459831e+00	4.117629780399912676e+00	3.399149201826836109e+00	7.618720267760958897e+00	1.268854021660291131e+01	-2.903474302045890187e+00	-5.940809491307138757e+01
1.000000000000000000e+00	1.000000000000000000e+00	5.795757020469402221e+00	6.166751279290126675e+00	9.125238985574361195e+00	8.807707508021405118e+00	4.655165343491199259e+00	2.834000545415066341e+01	-4.910663513906959210e+00	-4.147733430262663745e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.951732496761812818e+00	9.174884182815171485e+00	1.173503860712529878e+00	1.048356399102811309e+00	1.601169076293701865e+00	6.501419454935908782e+00	-1.456170429241367614e+01	-2.239474981088329208e+00
1.000000000000000000e+00	1.000000000000000000e+00	3.669743808326543899e+00	1.243646080979866841e+00	6.926880683765801905e+00	5.390810449669029225e+00	7.969340643205176100e+00	2.114103613826774364e+01	-2.842978119248222857e+00	-1.163296875191473276e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.469078881159850525e+00	7.297280669484934812e+00	9.704334565130189105e+00	9.403783907409314580e+00	3.546510154927795977e+00	3.364908498851823282e+01	-6.889764695034619635e+00	-2.590441102533337769e+01
