G	c	dx1dt	d2x1dt2	d2	d1	Fc	W	Fg	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.378061349316960005e+00	2.671721366862202185e+00	3.367957614529491384e+00	2.605539192089690204e+00	7.054512361186411340e+00	9.522362412025316303e+00	-3.076011777613997467e+00	-4.245098427841219291e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.558125994980002815e+00	5.875896965081026657e+00	3.218088467750135351e+00	2.880634705888715175e+00	8.161039027877311725e+00	1.089091304150576711e+01	-2.827113597005612267e+00	-5.286079827682345922e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.584658667108969077e+00	8.859450530483520936e+00	9.159161137283620135e+00	8.923032193334668349e+00	3.255886717944508124e+00	3.329323858939486058e+01	-7.739833693642781398e+00	-2.158135684498900631e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.390397033395857740e+00	7.587360086479880472e+00	3.242984400395217737e+00	2.983708469924259976e+00	6.626440727598608582e+00	1.016476096944220053e+01	-3.316149157729807229e+00	-3.314480284017874112e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.401679820148230782e+00	8.255424375225587141e+00	3.442732304422485790e+00	3.214911935729886316e+00	6.148903809796168574e+00	1.064013615344187080e+01	-3.574714767549679095e+00	-2.967737561825031278e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.400186444726398971e+00	6.929519948460085566e+00	7.834524163740698377e+00	7.541496950901868779e+00	8.481126948213907113e+00	2.860686133178325363e+01	-2.770387313993330825e+00	-1.364471324823979614e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.516496693177550092e+00	7.230560662266515060e+00	5.048419415668082166e+00	4.767161627093308596e+00	9.162175733493794993e+00	1.904797721703397428e+01	-2.654402414058991244e+00	-1.041901201601242093e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.786091655691077307e+00	8.645438236342236848e+00	8.006559629204026862e+00	7.754605293678880962e+00	1.105419769971022870e+00	6.850339349461174265e+01	-2.464365534602266550e+01	-4.852870880597354386e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.407922003478025985e+00	3.245513069457994781e+00	1.587275382318083405e+00	9.759912371784092988e-01	7.069893614963864259e+00	3.864074720545837671e+00	-2.946528960159131127e+00	-2.256742058596657330e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.373509736432006356e+00	5.394578006351411048e+00	5.381880348542838810e+00	5.020358121202890267e+00	1.470531413675516541e+00	3.469614317483138421e+01	-1.793542432021921584e+01	-4.628151034336626779e+00
