G	c	dx1dt	d2x1dt2	d2	d1	Fc	W	Fg	m1
1.000000000000000000e+00	1.000000000000000000e+00	4.802466795574323655e+00	2.681440431053817797e+00	3.208049259337498071e+00	2.836284829330568691e+00	6.731179012843862886e+00	9.004304279659582022e+00	-2.816284008658985982e+00	-4.120814089654186319e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.602646029882796697e+00	5.655971593360860084e+00	3.148013525686006897e+00	2.850369639385521570e+00	8.170896248239863269e+00	1.131681156213153372e+01	-2.937978798175283845e+00	-5.302993043532318751e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.956536588088085615e+00	8.488684322323727827e+00	9.538256347356712794e+00	8.853624670630617643e+00	3.410635996059304897e+00	3.307594947505728555e+01	-7.607274458732838696e+00	-1.889147835431677436e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.147860274243219791e+00	7.831530639341995226e+00	2.604974148488061747e+00	2.424365029616915468e+00	7.030383099024255955e+00	9.671167637817060125e+00	-3.395038313172782818e+00	-3.645185051728226000e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.540695713436837089e+00	8.426310310752393562e+00	3.104397752527634058e+00	3.009611331629636677e+00	5.728775094103045085e+00	1.214392795587462359e+01	-3.783756798761393814e+00	-3.132483952449176456e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.427035718462450475e+00	7.224940039201399600e+00	7.633654331271356952e+00	7.259248942609575650e+00	8.759339780273723619e+00	3.018683234656892367e+01	-2.629451630148743835e+00	-1.372236300260948383e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.744316145652033301e+00	6.960370880087940471e+00	4.748995176136514118e+00	4.943330666271153362e+00	9.190260475307526988e+00	1.859552002237140300e+01	-2.754020288558646445e+00	-1.024056608974608906e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.732236242561226547e+00	9.155673545060645679e+00	8.408606006496196272e+00	7.697611915796880311e+00	9.875050335989823402e-01	6.672989564721392242e+01	-2.461937327633403427e+01	-4.234696649374676269e+00
1.000000000000000000e+00	1.000000000000000000e+00	6.538259443072043098e+00	2.760531944745052257e+00	1.936627502466718553e+00	9.011251668373356782e-01	7.271721199123089008e+00	1.612487693338712003e+00	-2.634288172496610070e+00	-1.742424934962512850e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.671308562241958562e+00	5.602799028163823358e+00	5.552112631578217439e+00	5.015822078274572604e+00	1.402704286623182695e+00	3.490988179128465418e+01	-1.765308987376613814e+01	-6.517442562765700664e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.008815051781070782e+00	2.458123031673249859e+00	1.125873210309477734e+00	4.148534140653206137e-01	6.133820697720046233e+00	3.305027468378900046e+00	-3.323273289568747568e+00	-1.861325808775488611e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.794828160363540093e+00	9.668514433568390132e+00	1.933641022638117324e+00	1.752492175357347470e+00	3.320284630376798329e+00	5.031597640247783332e+00	-6.252851255681591169e+00	-4.616805243990249608e-01
1.000000000000000000e+00	1.000000000000000000e+00	7.980440878537587324e+00	9.932049939224748769e+00	8.718081207553305845e+00	9.274010520965816795e+00	3.589763082555776030e+00	3.090756377988889625e+01	-6.820932825622505469e+00	-3.109708936275805158e+01
