G	c	dx1dt	d2x1dt2	d1	d2	m2	m1	Fg	Fc	W	p
1.000000000000000000e+00	1.000000000000000000e+00	5.252380201078132416e+00	2.632427271683975167e+00	2.572489539789620139e+00	5.852929117502649881e+00	5.730772433752574280e+00	1.034476100421492717e+01	4.976949823492048175e+00	2.058307371782918782e+00	9.699625130312819365e+00	3.091310974508219260e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.994675304849749864e+00	5.891207168554923435e+00	3.666963541149435901e+00	7.963446044200393814e+00	8.214997292153910280e+00	1.261384898738841542e+01	5.329865320369070680e+00	2.038395063385867623e+00	1.350449650561062853e+01	2.407491013612409461e+03
1.000000000000000000e+00	1.000000000000000000e+00	7.252349040781338019e+00	9.721590326281543071e+00	8.746355247348317263e+00	3.390671073284750037e+00	7.958634259305783054e+00	-4.631234602560846270e+01	8.477836797288057724e+00	1.021060895723619666e+01	-2.427016591550790192e+00	-5.199477327707601034e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.000011974016973504e+00	7.852756924629576751e+00	2.797819777086399728e+00	6.978760001581680861e+00	2.640677398803701781e+00	4.099314205681832135e+00	3.754450219014993984e+00	2.105057354090846378e+00	1.032931412462665399e+01	1.181916842996864574e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.572036631583505706e+00	8.317545234840025614e+00	2.949631770553813759e+00	5.408231269664479868e+00	3.166844894785041831e+00	3.903060841765463973e+00	8.247042017598657182e+00	3.752692820856848854e+00	9.347661210936955456e+00	2.763421272207432366e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.434329674628374907e+00	7.295788489635621765e+00	8.470143094671362505e+00	7.767190817703647276e+00	4.108544572699583952e+00	9.233517905378205270e+00	1.572232117562918141e+00	1.955409411982721446e+00	9.251063148317298257e+00	9.465523037246499598e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.631035581770590159e+00	7.597267374696504483e+00	5.164732397241413864e+00	8.868995967121872326e+00	4.357652168786291469e+00	7.580250127517418335e+00	7.658512551046036343e+00	3.087766572997420411e+00	1.315012577598152710e+01	1.084240194819572707e+03
1.000000000000000000e+00	1.000000000000000000e+00	8.318973524665199903e+00	9.169034260273203785e+00	8.179524494845653138e+00	1.111220335234256007e+00	4.653498003968772778e+00	-8.713091608075874461e+00	9.506583697487789308e+00	1.306689190685582602e+01	-6.201767266493876996e+00	-8.943541047147536460e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.213707154948492573e+00	2.825930472969330420e+00	1.969041554931522775e+00	7.612270622971314182e+00	7.332966321123575604e+00	9.039437777331034596e+00	2.061990030448611844e+00	-9.370598201491664447e-03	1.230898661008794548e+01	7.182488243797977248e+02
1.000000000000000000e+00	1.000000000000000000e+00	7.126909958889775965e+00	5.137499511757472881e+00	5.364745209569307782e+00	1.855052091484414856e+00	1.178822275446976597e+00	-5.385996152747306809e+00	5.442234361936817422e+00	5.836464024090089353e+00	-1.815038980775454114e+00	3.578908831194053874e+01
