G	c	dx1dt	d2x1dt2	p	d1	Fg	m2	m1	d2	Fc	W
1.000000000000000000e+00	1.000000000000000000e+00	4.345045662699655864e+00	2.654209054682398428e+00	3.359308194072583298e+00	7.079414964411044231e+00	2.123101090084609233e+00	6.219227409249849181e+00	4.616981282281581223e+00	-1.977673261543528938e+01	6.899564804082904956e+00	1.305643181832118671e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.593603040617928457e+00	5.908427938709570171e+00	3.261274753980143881e+00	8.174067523532078994e+00	3.694519043390382507e+00	8.240766619925544489e+00	5.260937660889593026e+00	-1.436712976267080677e+01	2.597489300517441979e+00	-2.914206535402861320e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.625601392003412471e+00	8.848468932944843601e+00	9.191482529656340716e+00	3.252267617976704273e+00	2.125593255582610652e+01	7.785083071848438507e+00	8.694258633418957771e+00	3.313555227866615382e+01	8.853078352359752046e+00	3.769217518540655192e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.398287795119775190e+00	7.691460278875307033e+00	3.255277230663229382e+00	6.642557688934007665e+00	3.134509761412858531e+00	2.298566519770745220e+00	4.017930484268439351e+00	1.666609654621539249e+01	6.610594485279080779e+00	-3.379021317709761973e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.404542547298883282e+00	8.263540560326573470e+00	3.454192842949770803e+00	6.120360377167310517e+00	1.353706913075947371e+00	2.301185821780269869e+00	8.797075804107748809e+00	7.896776126828624953e+00	2.462323444422481966e+00	-3.798170978425847721e+00
1.000000000000000000e+00	1.000000000000000000e+00	2.353971838175537012e+00	7.059268344472013013e+00	7.874365479205836849e+00	8.539946370483171734e+00	2.205346720282312045e+00	3.391229401489571860e+00	1.770807793049666623e+00	-9.258735969617573502e+00	9.637206433070737432e+00	1.314214892305261344e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.399261908762952311e+00	7.250072033058011733e+00	5.000250440493375415e+00	9.096543276953100943e+00	8.168092177133511322e-01	4.294337465739364923e+00	8.070348225223421323e+00	2.030955147858525578e+01	5.590201262486921507e+00	-4.990852984931579073e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.735408514359917831e+00	8.630873666205525652e+00	8.084015485259438805e+00	1.087137254395618369e+00	6.348378871505104115e+01	4.615048154309911332e+00	8.623985739033633635e+00	2.054614387758093574e+00	1.633510234065791655e+00	7.972215136181607420e+01
1.000000000000000000e+00	1.000000000000000000e+00	6.388910643488626917e+00	3.196974388222201924e+00	1.475257998261768844e+00	7.099260737221435136e+00	1.474348228585392606e+00	7.201907005759282221e+00	2.563822086363942265e+00	-4.311824532030304802e+00	6.663981402340095173e+00	5.691751013902078427e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.432049106659058602e+00	5.324554531377150290e+00	5.468503380012596615e+00	1.405194990132433208e+00	2.724295662922749273e+01	1.437289905690196656e+00	4.887127989874214151e+00	3.344913710870227597e+00	3.311276543654855242e+00	1.589742290707656203e+01
