G	c	dx1dt	d2x1dt2	dx2dt	m1	Fg	m2	Fc	d1	W	p	d2
1.000000000000000000e+00	1.000000000000000000e+00	4.283152144980515885e+00	2.490645869606412877e+00	3.376399776875302461e+00	6.799441963662741450e+00	1.884933950589615392e+01	6.275172450355597675e+00	-2.408876308032952451e+01	5.170421832110824845e+00	-1.147827597441849790e+01	6.975411780108899507e+00	-7.127892997857469481e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.310582733768116626e+00	6.105382675505824253e+00	3.115175040272858187e+00	8.645040579480307130e+00	4.670087960724396936e+01	7.509441039273466068e+00	-1.546928230611873687e+02	5.226682221967276831e+00	-4.181002493430329991e+01	2.112344929396577697e+00	1.408123360379622113e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.782164880722317157e+00	9.002053701162409993e+00	8.907560359897386704e+00	2.864685573761724946e+00	2.901136805008090747e+01	8.088278649214027283e+00	-1.704306206525022560e+02	8.401560085525646926e+00	-1.796621556425159838e+01	9.000981497104168838e+00	-3.529626392521759044e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.363801537248908069e+00	7.401255259408134890e+00	3.139764382278128707e+00	6.591056959128341219e+00	4.854569395934942122e+01	2.603290789963769392e+00	-4.112092072682430199e+01	4.697459202771807618e+00	-1.708661846331888334e+00	6.320820046166785389e+00	-1.320917995120088335e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.629331462458243784e+00	8.483153548503052477e+00	2.806648545463557909e+00	6.192665588623008865e+00	4.962947295052543240e+01	2.244570274338767213e+00	-2.200007358004947022e+01	8.625746585309975956e+00	-1.779451478281963039e+00	2.133638789138801339e+00	-2.412823997145084149e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.499460760738393628e+00	6.883343151772403523e+00	7.625427326758386748e+00	8.256572493528398837e+00	6.001430980694382100e+01	2.875899250203538315e+00	-1.807068350032239934e+01	1.581336491738307704e+00	-5.766322513786997561e+00	9.462807092484275984e+00	-6.735850961826855610e+00
1.000000000000000000e+00	1.000000000000000000e+00	1.308150852510870044e+00	7.473944796771040622e+00	4.744109408494746383e+00	8.986634797633636040e+00	6.554154474951853615e+01	4.315709709274398342e+00	-1.225707515766156064e+01	7.839912595306918419e+00	-5.015307449394390549e-01	6.080762902383230362e+00	-1.506950286422785155e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.086317737140978679e+00	9.188217884355069032e+00	7.913115067685398074e+00	1.325033933176859247e+00	1.096774284554208023e+01	4.765065449105976292e+00	-1.178780279406002194e+02	8.673087210126176672e+00	-6.253304600717991768e+00	1.746772069604164201e+00	-4.797672192610330058e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.174277649495757636e+00	3.288957965749619738e+00	9.588851712299707453e-01	7.456363391866357659e+00	2.271312373632417447e+01	6.997310420915530571e+00	-4.798192700823495471e+01	2.891702557812442898e+00	-4.050087870670412826e+01	6.393867480378761847e+00	-1.019152334589658793e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.541876147510704342e+00	5.326627498321507836e+00	5.440842900510779678e+00	8.941632009936625325e-01	5.867818023528403870e+00	1.560971073602071213e+00	-1.796628335792432196e+01	4.146531357916659388e+00	-1.701742074359045453e+00	3.489674053778804463e+00	-1.498891274383458722e+03
1.000000000000000000e+00	1.000000000000000000e+00	1.532084216383831299e+00	3.283383521335048183e+00	1.553598327027576387e+00	5.988512351030881753e+00	1.952204419540269953e+01	1.603967242281029382e+00	-1.241996987458930946e+00	2.743645410277157026e+00	2.146814453514487298e-01	8.458920753946051363e+00	-7.721121342250268071e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.625111365120737617e+00	1.027750202429465709e+01	1.531495345311459477e+00	3.558025378258921734e+00	3.351064146737474658e+01	5.180153864806427144e+00	-1.436433679874432414e+02	7.207323316605947383e+00	-8.654967514535442774e+00	8.256687059484065117e+00	-1.199847486077011638e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.804813728117418137e+00	9.250849097205907867e+00	9.295644825670940747e+00	3.790058239639721105e+00	3.481138899697123179e+01	7.314482062657411632e+00	-1.940480728411318410e+02	5.704869239879002407e+00	-2.542686057122298848e+01	1.007141085370106204e+01	-1.772650966651287945e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.018653258075672863e+00	1.228847758221596420e+00	2.111652366810796266e+00	4.090887737194320195e+00	5.358356378383398955e+00	2.831858611323339048e+00	-9.049586522925054055e+00	7.188402704991399439e+00	-1.173413456990932913e+00	5.790650584159532599e+00	-2.222967769502204760e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.866973848110053513e+00	7.538050792802163613e+00	5.362582334279530905e+00	6.242337517320528661e+00	4.996223582417550091e+01	6.549183575685178837e+00	-4.343635399577292588e+01	2.826895052319718715e+00	-1.451644026770643592e+01	5.326164831459407445e+00	-3.701761960170598087e+01
1.000000000000000000e+00	1.000000000000000000e+00	2.424201572952315420e+00	9.290509128127169447e+00	4.700327364338654057e+00	4.423901318327017940e+00	3.657736333323644828e+01	3.201900422326592555e+00	-3.188570499606789355e+01	3.028521278044427945e+00	-4.214178597166199580e+00	7.598027323273866429e+00	-9.756180909885888752e+01
