G	c	dx1dt	d2x1dt2	dx2dt	m1	Fg	m2	Fc	d1	W	p	d2
1.000000000000000000e+00	1.000000000000000000e+00	2.949269554744754274e+00	2.250963522282682483e+00	3.579351715966657466e+00	7.811997145277723043e+00	1.874208667671821615e+01	6.939177281326823987e+00	-2.256489578804412943e+01	4.457625246021713394e+00	-1.382876936430696446e+01	7.115235211132325155e+00	-3.314403283506218401e+01
1.000000000000000000e+00	1.000000000000000000e+00	9.921584219382614478e+00	4.400992411125660198e+00	3.835430112276069892e+00	8.939246752125770357e+00	5.271105687721512112e+01	8.283444509303071968e+00	-1.523147646181515427e+02	4.803888982108944994e+00	-4.191467368297649188e+01	3.418026436155842340e+00	3.069591166705330920e+01
1.000000000000000000e+00	1.000000000000000000e+00	8.133749106866252632e+00	8.296517884618797467e+00	9.648391671694239946e+00	3.177008918494708123e+00	3.339672275942993451e+01	8.251634146218174592e+00	-1.694702625648351670e+02	8.436845141598439568e+00	-1.651350326834557691e+01	8.813945059859401354e+00	-4.076676580044253910e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.791392585740104515e+00	7.899929843944668129e+00	3.589050436939168698e+00	6.251134141750118722e+00	5.406534924269801934e+01	2.409365949068252188e+00	-4.772104979633738964e+01	4.049025305327529800e+00	-4.967844160306356116e+00	7.135587722666164368e+00	-1.251978367809755355e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.130427145303016134e+00	8.417023702423426457e+00	3.599162068973430273e+00	5.868183176820294555e+00	5.325412029197221386e+01	2.422358964877834975e+00	-1.161655624725433356e+01	8.327352581620123928e+00	4.449051027007400627e+00	2.669924151848090510e+00	-2.647274424843491261e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.723076262366565636e+00	7.466041697172095759e+00	7.513595730670381556e+00	8.720195685027086085e+00	5.982007567467528020e+01	2.798685597150514681e+00	-2.476883385619836275e+01	1.778629456141096465e+00	-7.853625718522637911e+00	9.055106754787420442e+00	-6.692333616776390670e+01
1.000000000000000000e+00	1.000000000000000000e+00	1.782989032717714473e+00	7.422519152081142657e+00	4.477383065166060661e+00	8.532403973062530511e+00	6.965823590946291688e+01	4.127391192481259630e+00	-1.916921055422076847e+01	8.154673016030269395e+00	5.363210318610458494e-01	6.220471798661908913e+00	-1.474183064359070272e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.761965924740298561e+00	9.052218715257829729e+00	7.332762959228524835e+00	8.637893880073793662e-01	3.540385925827664870e+00	3.698500975065342367e+00	-1.178160903351683970e+02	9.055229837650980329e+00	-8.315239191159298215e+00	2.096393400591216150e+00	-5.142463790552249066e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.379967675465520571e+00	3.672444413719558653e+00	1.805829875817568375e+00	7.714284999175745838e+00	2.592087816872597017e+01	7.042390058088371596e+00	-4.709090192197346880e+01	1.952875282193534456e+00	-4.252566822773911781e+01	6.287950497475407907e+00	-1.106855021661698046e+01
1.000000000000000000e+00	1.000000000000000000e+00	7.963416606189779756e+00	5.416215326147294284e+00	5.663273631300695499e+00	1.827504450435837535e+00	4.554734704853306226e+00	2.229144305095943857e+00	-1.711619985671388378e+01	4.528365090769218781e+00	-1.721166490547472172e-01	3.436278254982120473e+00	-1.485255236860693685e+03
1.000000000000000000e+00	1.000000000000000000e+00	6.254075160613299378e-01	3.006182964984958517e+00	1.906759202610530890e+00	4.666156168681741434e+00	1.501991657732591889e+01	1.735788350651338963e+00	-6.806494382150528821e+00	2.812382714218002455e+00	-1.098789399926042298e+00	9.379812830737243701e+00	-1.016034635673674842e+02
1.000000000000000000e+00	1.000000000000000000e+00	9.841292761111732901e+00	8.270766594421628426e+00	1.874047584422260604e+00	2.867282672439445790e+00	3.758150459003646660e+01	4.588336045903560034e+00	-1.361187253301792452e+02	6.546336118203821108e+00	-6.137222805352292809e+00	8.097636164361983191e+00	-1.616869252156932362e+02
1.000000000000000000e+00	1.000000000000000000e+00	8.343329220679809310e+00	9.131266108360318157e+00	9.738191675024344462e+00	4.929675648383204489e+00	3.850963544816016082e+01	7.164420449016253301e+00	-1.978723383873535795e+02	5.876387680798292656e+00	-2.829432408110104902e+01	1.020554589968715753e+01	-1.632063691672796040e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.553812117367348478e+00	1.013595809955779137e+00	2.181125039652958009e+00	4.815170652399662465e+00	3.824893194546646669e+00	2.446608625405746640e+00	-7.604235375569037281e+00	6.733325102092766024e+00	-6.255688408723614202e-02	4.921235212419649230e+00	-2.383623909678283042e+02
1.000000000000000000e+00	1.000000000000000000e+00	2.344248597838594961e+00	7.289647341455507856e+00	6.217418487146091799e+00	6.276071653839675690e+00	5.039316395366689960e+01	6.273232655252041212e+00	-5.082657683916262670e+01	1.349196434777480746e+00	-1.506516141515179363e+01	4.784376475007828589e+00	4.848515449665040933e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.558291670832195219e+00	8.809672876589100809e+00	4.146883301056256244e+00	3.200705476279288142e+00	3.906218409771663147e+01	3.784377934694759027e+00	-3.513417343230187839e+01	2.634505781848742068e+00	-2.850141998294458467e+00	8.222209066351094719e+00	-9.583706390769155803e+01
1.000000000000000000e+00	1.000000000000000000e+00	3.571636686167005248e+00	3.146759573082256178e+00	4.092857409860521933e+00	6.917886376827383721e+00	1.900205790325784250e+01	8.138650002302394881e+00	-3.714233590300953836e+01	1.554948864525211860e+00	-7.213941050472450911e+01	2.331864824509855882e+00	-4.609284328587865964e+00
1.000000000000000000e+00	1.000000000000000000e+00	5.143764969864151659e+00	5.621109347445037763e+00	8.087217580206244705e+00	4.916374457917647156e+00	2.882468024881704238e+01	8.212570074073791915e+00	-1.038903060409430879e+02	3.782382425383728375e+00	-4.332372127885472679e+01	5.812770814483566362e+00	-9.822447974445270802e+01
1.000000000000000000e+00	1.000000000000000000e+00	4.326623629825025574e+00	9.852695128530893243e+00	1.213850516486768560e+00	2.685364339420334368e+00	2.118178861588856421e+01	4.168183829285474040e+00	-5.196683714303511437e+01	5.777501820050665593e+00	-3.219841021908970369e+00	6.842348998292469453e+00	-1.784184480061724116e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.284185464224782969e+00	7.708082942330187759e-01	7.650391596962792029e+00	9.089556699691586417e+00	9.667547091406412108e+00	3.183160291653702956e+00	-9.643654597319734734e+00	8.807093573399725983e+00	6.762685870126963206e-01	1.303812385602506563e+00	-2.230451270016947376e+02
1.000000000000000000e+00	1.000000000000000000e+00	6.707238537658107624e+00	6.940890305842947861e+00	9.709317784380148808e+00	2.718847206431151076e+00	2.524823320821644757e+01	4.726151856732248469e+00	-8.055571944295367359e+01	7.544872841201700986e+00	-5.998971166033784996e+00	4.682447293874299810e+00	-3.339092927275835336e+02
1.000000000000000000e+00	1.000000000000000000e+00	1.925304740351355459e+00	3.297950870146092228e+00	6.440080257602020630e+00	4.734789823664779185e+00	1.844551489653794363e+01	3.277569091399749723e+00	-9.923781678373682524e+00	5.213497947085362405e+00	-2.201611319502258635e+00	8.947076598017575932e+00	-3.130772563806161770e+02
1.000000000000000000e+00	1.000000000000000000e+00	3.185234133194305262e+00	9.043503051936964354e+00	9.582245515672116909e+00	6.705042845320061673e+00	6.626166500229003020e+01	8.146337805840770940e+00	-7.896062744867541028e+01	9.163406320922051762e+00	-8.851515209138016260e+00	8.231301682213700843e+00	-2.337548102359165512e+02
